"","Date","Respiratory.Infections","Respiratory.Infections_Cum","Pneumonia","Pneumonia_Cum","Attendance.at.Emergency.Department","COVID-19.Cases","COVID-19.Cases_Cum","Total","Total_Cum","X11"
"4","2021-10-04",3,7,1,2,359,NA,NA,4,9,NA
"5","18905",3,19,1,8,351,NA,NA,4,27,NA
"6","2021-10-06",4,11,2,4,302,NA,NA,6,15,NA
"7","18907",2,24,2,12,320,NA,NA,5,36,NA
"8","2021-10-08",2,13,3,7,326,NA,NA,5,20,NA
"9","18909",4,29,2,13,296,NA,NA,6,42,NA
"10","2021-10-10",6,19,1,8,281,NA,NA,7,27,NA
"11","18911",4,35,1,16,321,NA,NA,7,51,NA
"12","2021-10-12",4,23,3,11,339,NA,NA,7,34,NA
"13","18913",2,41,1,19,324,NA,NA,3,60,NA
"14","2021-10-14",1,24,1,12,314,NA,NA,2,36,NA
"15","18915",1,51,0,23,317,NA,NA,2,74,NA
"16","2021-10-16",2,26,0,12,353,NA,NA,2,38,NA
"17","18917",2,58,0,26,359,NA,NA,3,84,NA
"18","2021-10-18",3,29,1,13,380,NA,NA,4,42,NA
"19","18919",3,70,1,28,365,NA,NA,4,98,NA
"20","2021-10-20",3,32,1,14,360,NA,NA,4,46,NA
"21","18921",3,82,1,34,359,NA,NA,4,116,NA
"22","2021-10-22",3,35,2,16,339,NA,NA,5,51,NA
"23","18923",2,89,1,36,341,NA,NA,3,125,NA
"24","2021-10-24",1,36,1,17,343,NA,NA,2,53,NA
"25","18925",1,101,1,38,335,NA,NA,3,139,NA
"26","2021-10-26",5,41,2,19,325,NA,NA,7,60,NA
"27","18927",5,109,2,40,331,NA,NA,7,149,NA
"28","2021-10-28",5,46,2,21,335,NA,NA,7,67,NA
"29","18929",5,118,2,41,331,NA,NA,7,159,NA
"30","2021-10-30",5,51,2,23,329,NA,NA,7,74,NA
"31","18931",4,127,2,43,329,NA,NA,6,170,NA
"32","2021-11-01",4,55,2,25,336,NA,NA,6,80,NA
"33","18933",3,139,1,46,355,NA,NA,4,185,NA
"34","2021-11-03",3,58,1,26,356,NA,NA,4,84,NA
"35","18935",3,146,1,49,356,NA,NA,6,195,NA
"36","2021-11-05",6,64,1,27,356,NA,NA,7,91,NA
"37","18937",6,150,1,51,343,NA,NA,7,201,NA
"38","2021-11-07",6,70,1,28,296,NA,NA,7,98,NA
"39","18939",7,156,2,56,302,NA,NA,7,212,NA
"40","2021-11-09",8,78,3,31,336,NA,NA,11,109,NA
"41","18941",4,158,3,58,326,NA,NA,9,216,NA
"42","2021-11-11",4,82,3,34,322,NA,NA,7,116,NA
"43","18943",3,162,2,60,303,NA,NA,5,222,NA
"44","2021-11-13",3,85,1,35,299,NA,NA,4,120,NA
"45","18945",3,171,1,67,290,NA,NA,4,238,NA
"46","2021-11-15",4,89,1,36,279,NA,NA,5,125,NA
"47","18947",5,180,1,71,286,NA,NA,8,251,NA
"48","2021-11-17",8,97,1,37,331,NA,NA,9,134,NA
"49","18949",7,186,1,78,291,NA,NA,6,264,NA
